Country_Name,Country_Code,year,Total_Revenue_excl_SC,Tax_Revenue_incl_SC,Tax_Revenue,Total_Non_Tax_Revenue,Direct_Taxes,Income_Taxes,PIT,CIT,Indirect_Taxes,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Export_Taxes,Social_Contributions,Property_Tax,Other_Taxes
India,IND,2008,0.20343037152403484,0.17049320548291014,0.17049320548291014,0.0,0.066232118737387,0.05857874429286679,0.019879230750258606,0.038699513542608185,0.10723488942633429,0.09719962017731829,0.05527551652547845,0.02743907676103234,0.018113211242635312,,,0.00765337444452021,0.00343328221637706
India,IND,2009,0.1902769222891342,0.15737363790910633,0.15737363790910633,0.0,0.06551840622190822,0.058276971610517515,0.019836922144625686,0.03844004946589183,0.09384206664763972,0.08794376325610348,0.05222380692908889,0.0240855163673953,0.013088073068529863,,,0.007241434611390695,0.0024578353221840826
India,IND,2010,0.20757202200754687,0.16638460917794973,0.16638460917794973,0.0,0.06602719087842618,0.05789085872605205,0.018767262490451207,0.03912359623560084,0.10176576716765745,0.09186999441480696,0.05462631731441285,0.026052502386543563,0.017789442413306385,,,0.008136332152374127,0.001889156185260749
India,IND,2011,0.19319367285805364,0.16786730469201597,0.16786730469201597,0.0,0.06492198783699792,0.056298197297950055,0.019347212158881362,0.03695098513906869,0.10410301121866962,0.09701387882554802,0.059175326481485935,0.025092483914870428,0.01709276091905869,,,0.008623790539047861,0.001584745539603014
India,IND,2012,0.19805491304164627,0.17238684724165182,0.17238684724165182,0.0,0.06498560390055806,0.056084706445979106,0.020251487000268402,0.035833219445710704,0.10836503934578526,0.10410830717940533,0.06306405472317866,0.02628110602832076,0.01662769346741602,,,0.00890089745457895,0.0014283891221783399
India,IND,2013,0.19693195954038276,0.16726497264170578,0.16726497264170578,0.0,0.06482993490376393,0.05676898571970572,0.02163503574391006,0.03513394997579566,0.10331659563225139,0.10089438112107672,0.06314314869370442,0.022655450356531104,0.01531888218138532,,,0.008060949184058214,0.0013175565063209918
India,IND,2014,0.19192578993883438,0.1644830120150379,0.1644830120150379,0.0,0.0633648851427888,0.055550710425018246,0.02114852799884889,0.03440218242616935,0.10220130335686858,0.09951024542188498,0.061865365453960826,0.02261313339256249,0.015079934093463091,,,0.007814174717770567,0.0015596939322626902
India,IND,2015,0.19920352727909701,0.16966521595372056,0.16966521595372056,0.0,0.0620810377071785,0.05422200550608808,0.02129358486903225,0.03292842063705583,0.10794439233198808,0.10766235298553761,0.06288184927140199,0.02861735405099536,0.01528170841156559,,,0.007859032201090422,0.0008032665125791219
India,IND,2016,0.20364012397243061,0.17453288359805358,0.17453288359805358,0.0,0.06290091055856954,0.056067079794468414,0.024276527014994515,0.0317905527794739,0.11193806242859934,0.11354160632617077,0.06399289117391345,0.0321345791588855,0.014774762395571333,,,0.0068338307641011235,0.0007297403111137393
India,IND,2017,0.2040076187858628,0.18180654701309742,0.18180654701309742,0.0,0.06745950708707282,0.06007716793719961,0.026022612276946272,0.03405455566025334,0.1146678503643771,0.11149712716368934,0.08309104243718159,0.02298454207603881,0.0076926539417622635,,,0.007382339149873205,0.0005788014710419542
