Country_Code,year,GDP_PC_Constant_USD
FIN,1985,28643.268198181915
FIN,1986,29337.13126643791
FIN,1987,30299.82231995598
FIN,1988,31788.07072174238
FIN,1989,33284.79401776116
FIN,1990,33359.65483244577
FIN,1991,31224.987386608318
FIN,1992,30027.03042490389
FIN,1993,29684.275456867017
FIN,1994,30727.94052629
FIN,1995,31901.70984015612
FIN,1996,32963.293258070546
FIN,1997,34947.04163708558
FIN,1998,36756.45668750831
FIN,1999,38277.282553697274
FIN,2000,40403.20200485602
FIN,2001,41363.44667298801
FIN,2002,41967.737104656866
FIN,2003,42706.721206602306
FIN,2004,44282.85024810749
FIN,2005,45358.343061471714
FIN,2006,47004.37072781083
FIN,2007,49285.170049030334
FIN,2008,49440.855186975314
FIN,2009,45231.94110060119
FIN,2010,46459.97325485425
FIN,2011,47423.27262805358
FIN,2012,46538.54823931025
FIN,2013,45906.919797431314
FIN,2014,45550.63234443928
FIN,2015,45647.66859217649
FIN,2016,46796.33734727676
FIN,2017,48213.382734835795
FIN,2018,48880.18533577002
FIN,2019,49397.23485871231
FJI,1960,1773.777387338793
FJI,1961,1774.0954129912764
FJI,1962,1775.230620781085
FJI,1963,1824.80895613993
FJI,1964,1853.2831821413174
FJI,1965,1751.0586307023384
FJI,1966,1705.3491800440436
FJI,1967,1887.1843781336452
FJI,1968,1991.8455234674084
FJI,1969,2000.4057831300956
FJI,1970,2207.486439016779
FJI,1971,2310.414500702116
FJI,1972,2432.0774621002174
FJI,1973,2659.18640684916
FJI,1974,2673.9397501882263
FJI,1975,2635.8537955217594
FJI,1976,2657.595477521609
FJI,1977,2763.9818939390434
FJI,1978,2764.2615489738864
FJI,1979,3041.2901701927394
FJI,1980,2927.8888383853664
FJI,1981,3038.078575334522
FJI,1982,2782.6768516152174
FJI,1983,2605.357208510922
FJI,1984,2763.608812949122
FJI,1985,2594.2896727029997
FJI,1986,2768.645312231054
FJI,1987,2574.2367489274434
FJI,1988,2594.716824944443
FJI,1989,2781.326370208462
FJI,1990,2926.5725382233213
FJI,1991,2821.116190433714
FJI,1992,2956.7456252787747
FJI,1993,2977.75102732399
FJI,1994,3086.098157586617
FJI,1995,3123.2074061421486
FJI,1996,3235.7285090073274
FJI,1997,3131.209930114602
FJI,1998,3142.497963805331
FJI,1999,3392.976318362397
FJI,2000,3315.9544923494764
FJI,2001,3370.14365297708
FJI,2002,3472.3057415841204
FJI,2003,3503.509181788902
FJI,2004,3681.14790773598
FJI,2005,3690.0237648935276
FJI,2006,3729.9343473111035
FJI,2007,3661.408755551635
FJI,2008,3659.092103816411
FJI,2009,3573.392550309134
FJI,2010,3652.527437141926
FJI,2011,3735.5583153140665
FJI,2012,3781.184541818425
FJI,2013,3957.7281689721913
FJI,2014,4175.409262009709
FJI,2015,4352.466256515364
FJI,2016,4439.594430805733
FJI,2017,4650.30173043457
FJI,2018,4794.684026079325
FJI,2019,4738.6292897774
FRA,1960,12743.925099346754
FRA,1961,13203.320854334925
FRA,1962,13911.255047304974
FRA,1963,14572.276951348136
FRA,1964,15337.076814268874
FRA,1965,15893.04974312205
FRA,1966,16557.48112251928
FRA,1967,17219.866253823388
FRA,1968,17852.72454589275
FRA,1969,18978.687963593635
FRA,1970,19984.589602645687
FRA,1971,20880.893343346477
FRA,1972,21648.55225330424
FRA,1973,22842.673629557263
FRA,1974,23654.18456176236
FRA,1975,23279.80602822033
FRA,1976,24164.725382298362
FRA,1977,24888.17632576777
FRA,1978,25772.303457291924
FRA,1979,26577.747936163418
FRA,1980,26877.72338467596
FRA,1981,27033.33437324281
FRA,1982,27567.07914304431
FRA,1983,27757.289847754648
FRA,1984,28020.46188521611
FRA,1985,28315.830517803846
FRA,1986,28814.174248393898
FRA,1987,29383.960125115867
FRA,1988,30604.404032792467
FRA,1989,31761.247527225492
FRA,1990,32524.058745273116
FRA,1991,32683.347702710507
FRA,1992,33041.36210479657
FRA,1993,32691.68432248898
FRA,1994,33338.33905447662
FRA,1995,33917.92620415858
FRA,1996,34275.60539563073
FRA,1997,34952.52161962468
FRA,1998,36073.63657892976
FRA,1999,37116.410787885
FRA,2000,38309.44273897272
FRA,2001,38786.08580676582
FRA,2002,38942.28121749287
FRA,2003,38985.53585358834
FRA,2004,39794.63550565904
FRA,2005,40152.69286048158
FRA,2006,40850.35552994301
FRA,2007,41582.79970493768
FRA,2008,41456.4834200511
FRA,2009,40058.67976043405
FRA,2010,40638.33400426001
FRA,2011,41329.03536134609
FRA,2012,41258.2747305664
