year,Country_Code,Total_Revenue,Tax_Revenue,Income_Taxes,PIT,CIT,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Social_Contributions,Property_Tax,Other_Taxes,Direct_Taxes,Indirect_Taxes,Total_Non_Tax_Revenue,GDP_Current_LCU,GDP_Constant_USD,Tax_Revenue_real_USD,Tax_Revenue_current_LCU,gr_Tax_Revenue,outlier
2017,MNE,0.2933240288439172,0.2568039078855548,0.045359385903698535,0.033961386368923006,0.011397999534775528,0.18004187020237264,0.12770411723656663,0.052337752965806,0.005815305885089556,0.10258199581297976,0.0034891835310537334,0.02209816236334031,0.15143056524773202,0.20795533845080252,0.03628750872295883,4299091000.0,4887274946.924729,1255071305.2814379,1104023369.1556177,0.04964807088142309,0
2018,MNE,0.30345271284580744,0.26163414111087285,0.049538923439845596,0.034956036886124815,0.01458288655372078,0.1797126313532061,0.13231825005361356,0.04739438129959254,0.005790263778683251,0.09993566373579241,0.0038601758524555007,0.02251769247265709,0.1533347630280935,0.20802058760454642,0.04181857173493459,4663131000.0,5135444172.578653,1343607525.315453,1220034274.0724857,0.07054278084555654,0
2019,MNE,0.3154918198343769,0.27166229044637447,0.051100787719652596,0.036356291658250856,0.014744496061401737,0.1882447990304989,0.14057766107856998,0.0476671379519289,0.005857402544940416,0.09796000807917593,0.005049484952534842,0.021813774994950515,0.15411028075136335,0.21591597657038983,0.04362754998990103,4950717100.0,5344094979.592192,1451789082.5189855,1344923146.7380328,0.08051574225749714,0
2020,MNE,0.30617107457707887,0.26709554443650224,0.04860614724803431,0.032880629020729094,0.015725518227305217,0.18656182987848463,0.1343817012151537,0.05218012866333095,0.005241839409101739,0.0981653562068144,0.004050512270669526,0.0228734810578985,0.15082201572551823,0.21467715034548487,0.0390755301405766,4193206000.0,4533984453.54349,1211007046.0858357,1119986639.504408,-0.16585194043157503,0
1980,MNG,,,,,,,,,,,,,,,,6304182300.0,,,,,0
1981,MNG,,,,,,,,,,,,,,,,6930297300.0,2497286677.4828253,,,,0
1982,MNG,,,,,,,,,,,,,,,,7657205800.0,2705613731.3071685,,,,0
1983,MNG,,,,,,,,,,,,,,,,8177209900.0,2863460263.2882934,,,,0
1984,MNG,,,,,,,,,,,,,,,,8394938399.999999,3033361371.5746737,,,,0
1985,MNG,,,,,,,,,,,,,,,,8746021900.0,3206653431.9515595,,,,0
1986,MNG,0.3147162847916346,0.30292941719206523,0.1264647085960326,,,,,,,0.01830693526064893,,0.00023835153006304783,0.14477164385668154,0.17518837459634015,0.011617714900815009,8688536600.0,3507277015.2381425,1062457382.1572165,2632013328.489928,,0
1987,MNG,0.31397817752875257,0.30056030669419054,0.13238720141551166,,,,,,,0.018615452668829253,,0.00023591860808021235,0.15100265408434088,0.16801828369212618,0.013204069595989383,9061834800.0,3628581398.109049,1090607537.8804903,2723627846.700089,0.026495326961837762,0
1988,MNG,0.30439858244736295,0.29426030157737476,0.1401431450211938,,,,,,,0.01876172607879925,,0.0002918490723368772,0.15890487109999307,0.16360225140712942,0.01002710027100271,9613384700.0,3813928331.2399507,1122287700.9451616,2828837481.0013204,0.029048179078460468,0
1989,MNG,0.32759655793476083,0.3164165165766126,0.15590687745980922,,,,,,,0.020032019211526916,,0.00022680274831565606,0.17593889667133614,0.1671336135014342,0.010993262624241213,10730900400.0,3973281722.435069,1257211961.990428,3395434124.298579,0.1202225248763189,0
1990,MNG,0.3478796169630643,0.29309165526675784,0.14281805745554035,,,,,0.05341997264021888,0.09685362517099863,0.014295485636114911,,0.00019835841313269492,0.15711354309165526,0.1506703146374829,0.054309165526675786,12803928300.0,3846754148.223362,1127451540.7070522,3752724539.363885,-0.10321284334420266,0
1991,MNG,0.3074913881212855,0.2739145247378582,0.09789150925540371,,,,,0.06412537381231782,0.032819775144793124,0.03187341484650036,,0.07911572093727524,0.12976492410190407,0.17606086989438618,0.03353900897149563,22600674100.0,3512334855.639106,962079532.7025995,6190652904.856721,-0.14667770811749825,0
1992,MNG,0.17034507986830874,0.15298439214729911,0.08023411779051336,,,,,0.04779904889647604,0.023533715400560908,0.009511035239604925,,0.0051822948420924275,0.08974515303011828,0.07651505913912937,0.017360687721009634,56130265400.0,3187216784.290676,487594422.38637847,8587054533.285575,-0.4931869914988568,0
1993,MNG,0.19472721055459735,0.18718928607663432,0.10686868003652474,0.004783538315277637,0.10208514172124711,0.053133724884545,0.0268299006842752,0.024751898572453884,0.024721837059082145,0.010668079557795139,,0.002465044096482427,0.11753675959431988,0.08032060604010957,0.007537924477963032,227677404200.0,3086220528.1813483,577707417.3453199,42618770747.9793,0.18481137359593136,0
1994,MNG,0.1712857852949474,0.13702862823595793,0.07164895594037016,0.0049258657209004485,0.06694699320678336,0.04366108252616306,0.02530103756644321,0.011866858327623808,0.016792724048524256,0.014105888200760374,,0.004701962733586792,0.08575484414113053,0.06515576930827412,0.03425715705898948,382103230300.0,3152092285.022329,431926881.88975585,52359081492.537315,-0.25234319497827207,0
1995,MNG,0.1628463439682502,0.11780094398348423,0.0636939329230656,0.006960367927675211,0.056733564995390395,0.03690308278635348,0.021406414570019988,0.011294181920378643,0.012607458887864532,0.020749776086277042,,0.004596469386200611,0.08444370900934266,0.05410701106041862,0.045045399984765984,651455743000.0,3353083144.9978557,394996359.73585755,76742101488.86209,-0.08550179139654557,0
1996,MNG,0.1622985179826758,0.11870977315304286,0.0528629458572144,0.007419360822065179,0.04544358503514922,0.04312503477825386,0.02492441526162521,0.012867953925769294,0.016113924285422812,0.02144658987628216,,0.0066078682321518,0.07430953573349657,0.06584682729582847,0.04358874482963293,737996595800.0,3428027699.942272,406940390.6224944,87607408475.13586,0.030238331549749198,0
1997,MNG,0.17910037140630014,0.1309551102755743,0.05740749231968453,0.007061304965839791,0.050346187353844746,0.058049429134760876,0.03493970379201247,0.018616167637213993,0.008070062818102618,0.019441514970883582,,0.007336420743729653,0.07684900729056811,0.07345591269659316,0.04814526113072585,932926210900.0,3561608120.971727,466410784.2402335,122171454827.38318,0.14614030700360692,0
1998,MNG,0.18577504298253553,0.11573613247669894,0.037553162609718575,0.009139444394172472,0.028323228667088952,0.06958646276355081,0.041715681838747624,0.022169939372002533,0.001357343226857298,0.023617772147316984,,0.007239163876572256,0.06117093475703556,0.07818296986698037,0.07003891050583658,945461183000.0,3680563574.1477814,425974193.40648013,109424020727.2645,-0.08669737536112743,0
1999,MNG,0.169598885176329,0.1198752157595528,0.030879348841628528,0.009976405010372294,0.02098212164879887,0.06896387907963705,0.0478234017957529,0.021140477283884147,0.007126003578837353,0.024228412168047,,0.012905984259449872,0.05510776100967553,0.08899586691792427,0.049723669416776195,1080531999700.0,3793570457.5362015,454755077.0962176,129529006599.13855,0.06756485283669211,0
2000,MNG,0.21478245675345098,0.1548838022016425,0.04389306307880482,0.010344225056788397,0.03354883802201643,0.08191507950375677,0.053258780359951075,0.028656299143805696,0.015586230997728464,0.027468111130525948,,0.01341953520880657,0.07136117420933077,0.1109208457102918,0.05989865455180849,1224062063100.0,3837047132.1843133,594296449.0596148,189587386463.71484,0.3068495086507257,0
2001,MNG,0.22478874276631913,0.16826937828699073,0.039581965351972656,0.012703049345516805,0.02687891600645585,0.09665363632458439,0.06394481844458218,0.03270881788000221,0.01656919479850018,0.03313838959700036,,0.015464581811933503,0.07272035494897301,0.12868741293501806,0.05651936447932839,1391878162500.0,3950344027.423315,664721933.5142483,234210473055.11407,0.11850228041253019,0
2002,MNG,0.22918814042320984,0.16800515921355066,0.03990673729350744,0.014441388357595232,0.02552046873880379,0.09370366491569426,0.06542720603231122,0.028276458883383034,0.013559471511329876,0.029985172773022165,,0.020780165690127493,0.0698919100665296,0.12804330211715162,0.0611829812096592,1550609921100.0,4137312959.5490017,695089922.4853165,260510466672.51672,0.04568525189250039,0
2003,MNG,0.2245897727432237,0.16647716904591456,0.04566658712445549,0.013475386364593422,0.032191200759862065,0.08445511245864974,0.057036444369581184,0.027418668089068562,0.015253388732143944,0.030506777464287888,,0.021102080730665395,0.07617336458874337,0.12081058192145909,0.05811260369730913,1829072230300.0,4427116613.569202,737013840.8631369,304498766880.84106,0.06031438094789232,0
2004,MNG,0.22730662204681448,0.18223814633614027,0.05241620137133296,0.01655057017623629,0.03586563119509666,0.08489896877216595,0.059327428477893164,0.025571540294272777,0.016259571140170598,0.029863776076241747,,0.028663405052470763,0.0822799774475747,0.1298219449648073,0.04506847571067421,2361156946300.0,4897515726.07987,892514187.5728917,430292865102.4135,0.2109870101321898,0
