,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
2254,FIN,2011,76109729929.70207,71050428763.45795
2255,FIN,2012,75222606048.88927,76109729929.70207
2256,FIN,2013,77076016412.97847,75222606048.88927
2257,FIN,2014,76947286092.54991,77076016412.97847
2258,FIN,2015,77360605294.27612,76947286092.54991
2259,FIN,2016,79751398053.30713,77360605294.27612
2260,FIN,2017,82372022591.84622,79751398053.30713
2261,FIN,2018,82304039465.42198,82372022591.84622
2262,FJI,1980,314089577.26515615,
2263,FJI,1981,369982982.31579643,314089577.26515615
2264,FJI,1982,325354176.9733459,369982982.31579643
2265,FJI,1983,343621312.0341969,325354176.9733459
2266,FJI,1984,381284713.8717761,343621312.0341969
2267,FJI,1985,361281625.7846435,381284713.8717761
2268,FJI,1986,346901575.2343967,361281625.7846435
2269,FJI,1987,312249120.50267017,346901575.2343967
2270,FJI,1988,319431058.12436086,312249120.50267017
2271,FJI,1989,395747641.2635585,319431058.12436086
2272,FJI,1990,447905730.1043993,395747641.2635585
2273,FJI,1991,418888303.69175315,447905730.1043993
2274,FJI,1992,438934843.1527524,418888303.69175315
2275,FJI,1993,444407669.8770104,438934843.1527524
2276,FJI,1994,468835437.6519391,444407669.8770104
2277,FJI,1995,496391012.77487785,468835437.6519391
2278,FJI,1996,496729027.2871476,496391012.77487785
2279,FJI,1997,491139052.57503676,496729027.2871476
2280,FJI,1998,488443194.2040572,491139052.57503676
2281,FJI,1999,511503923.6322745,488443194.2040572
2282,FJI,2000,481268625.1536573,511503923.6322745
2283,FJI,2001,496146607.2107738,481268625.1536573
2284,FJI,2002,512141990.26003647,496146607.2107738
2285,FJI,2003,559622349.1774737,512141990.26003647
2286,FJI,2004,616757376.9484738,559622349.1774737
2287,FJI,2005,597439036.1243972,616757376.9484738
2288,FJI,2006,660925952.2187667,597439036.1243972
2289,FJI,2007,632943737.308114,660925952.2187667
2290,FJI,2008,632179287.0187621,632943737.308114
2291,FJI,2009,606364606.4830812,632179287.0187621
2292,FJI,2010,631405507.894423,606364606.4830812
2293,FJI,2011,685520703.462164,631405507.894423
2294,FJI,2012,701588298.0617764,685520703.462164
2295,FJI,2013,747809861.643809,701588298.0617764
2296,FJI,2014,822127697.037499,747809861.643809
2297,FJI,2015,897493845.3399757,822127697.037499
2298,FJI,2016,909641177.6228931,897493845.3399757
2299,FJI,2017,1006640027.3607999,909641177.6228931
2300,FJI,2018,1024591300.091506,1006640027.3607999
2301,FRA,1980,335863146443.89557,
2302,FRA,1981,341981940946.53375,335863146443.89557
2303,FRA,1982,355238249755.49695,341981940946.53375
2304,FRA,1983,360612029903.1,355238249755.49695
2305,FRA,1984,376743506426.1035,360612029903.1
2306,FRA,1985,382289932858.4425,376743506426.1035
2307,FRA,1986,391275597239.3794,382289932858.4425
2308,FRA,1987,405824010375.9399,391275597239.3794
2309,FRA,1988,414813021998.6459,405824010375.9399
2310,FRA,1989,425486179896.3653,414813021998.6459
2311,FRA,1990,436199205544.38605,425486179896.3653
2312,FRA,1991,446693442838.8437,436199205544.38605
2313,FRA,1992,448178646079.5301,446693442838.8437
2314,FRA,1993,445871492824.3469,448178646079.5301
2315,FRA,1994,470590387839.74365,445871492824.3469
2316,FRA,1995,485656844096.40985,470590387839.74365
2317,FRA,1996,514683399278.8402,485656844096.40985
2318,FRA,1997,540824181074.5617,514683399278.8402
2319,FRA,1998,600812007479.2064,540824181074.5617
2320,FRA,1999,634204082111.4713,600812007479.2064
2321,FRA,2000,645414745984.815,634204082111.4713
2322,FRA,2001,649810399061.3713,645414745984.815
2323,FRA,2002,640472736073.7587,649810399061.3713
2324,FRA,2003,637220111653.9697,640472736073.7587
2325,FRA,2004,664147484891.2493,637220111653.9697
2326,FRA,2005,685874488048.6223,664147484891.2493
2327,FRA,2006,707059114029.6863,685874488048.6223
2328,FRA,2007,711123619932.4603,707059114029.6863
2329,FRA,2008,707099498125.3622,711123619932.4603
2330,FRA,2009,650467370429.956,707099498125.3622
2331,FRA,2010,684505186892.1425,650467370429.956
2332,FRA,2011,727595873425.411,684505186892.1425
2333,FRA,2012,753087163896.3732,727595873425.411
2334,FRA,2013,775394598400.5048,753087163896.3732
2335,FRA,2014,780399029499.5356,775394598400.5048
2336,FRA,2015,789774263291.2715,780399029499.5356
2337,FRA,2016,806299242219.856,789774263291.2715
2338,FRA,2017,843975939459.6455,806299242219.856
2339,FRA,2018,878531904872.2983,843975939459.6455
2340,FSM,1980,,
2341,FSM,1981,,
2342,FSM,1982,,
2343,FSM,1983,,
2344,FSM,1984,,
2345,FSM,1985,,
2346,FSM,1986,,
2347,FSM,1987,,
2348,FSM,1988,,
2349,FSM,1989,21923899.43300852,
2350,FSM,1990,25838485.927257154,21923899.43300852
2351,FSM,1991,25905222.81830223,25838485.927257154
2352,FSM,1992,29267351.491225693,25905222.81830223
2353,FSM,1993,29840894.029145133,29267351.491225693
2354,FSM,1994,28277056.220128242,29840894.029145133
2355,FSM,1995,26221258.044944167,28277056.220128242
2356,FSM,1996,29743466.603774283,26221258.044944167
2357,FSM,1997,26475913.888007678,29743466.603774283
2358,FSM,1998,32462232.640146203,26475913.888007678
2359,FSM,1999,31755376.63182922,32462232.640146203
2360,FSM,2000,34446407.88631009,31755376.63182922
2361,FSM,2001,32804892.0497651,34446407.88631009
2362,FSM,2002,32599564.1582606,32804892.0497651
2363,FSM,2003,29846852.68680427,32599564.1582606
2364,FSM,2004,33312398.87411674,29846852.68680427
2365,FSM,2005,34909837.74023896,33312398.87411674
2366,FSM,2006,35059786.860595874,34909837.74023896
2367,FSM,2007,31725381.26660486,35059786.860595874
2368,FSM,2008,31886993.657348543,31725381.26660486
2369,FSM,2009,32875527.805400465,31886993.657348543
2370,FSM,2010,35473051.89507689,32875527.805400465
