,Country_Code,GDP_Constant_USD_value_crisis,GDP_Constant_USD_value_pre_crisis,GDP_Constant_USD_crisis_year,GDP_Constant_USD_turn_around_year,GDP_Constant_USD_recovery_year_1_2,GDP_Constant_USD_recovery_year_3_4,GDP_Constant_USD_recovery_year,GDP_Constant_USD_recovery_year_1_2_str,GDP_Constant_USD_recovery_year_3_4_str,GDP_Constant_USD_recovery_year_str,GDP_Constant_USD_crisis_shock,GDP_Constant_USD_recovery_time_1_2,GDP_Constant_USD_recovery_time_3_4,GDP_Constant_USD_recovery_time,GDP_growth_rate_value_crisis,GDP_growth_rate_value_pre_crisis,GDP_growth_rate_crisis_year,GDP_growth_rate_turn_around_year,GDP_growth_rate_recovery_year_1_2,GDP_growth_rate_recovery_year_3_4,GDP_growth_rate_recovery_year,GDP_growth_rate_recovery_year_1_2_str,GDP_growth_rate_recovery_year_3_4_str,GDP_growth_rate_recovery_year_str,GDP_growth_rate_crisis_shock,GDP_growth_rate_recovery_time_1_2,GDP_growth_rate_recovery_time_3_4,GDP_growth_rate_recovery_time,revenue_deficit_value_crisis,revenue_deficit_value_pre_crisis,revenue_deficit_crisis_year,revenue_deficit_turn_around_year,revenue_deficit_recovery_year_1_2,revenue_deficit_recovery_year_3_4,revenue_deficit_recovery_year,revenue_deficit_recovery_year_1_2_str,revenue_deficit_recovery_year_3_4_str,revenue_deficit_recovery_year_str,revenue_deficit_crisis_shock,revenue_deficit_recovery_time_1_2,revenue_deficit_recovery_time_3_4,revenue_deficit_recovery_time,neg_govt_expenditure_value_crisis,neg_govt_expenditure_value_pre_crisis,neg_govt_expenditure_crisis_year,neg_govt_expenditure_turn_around_year,neg_govt_expenditure_recovery_year_1_2,neg_govt_expenditure_recovery_year_3_4,neg_govt_expenditure_recovery_year,neg_govt_expenditure_recovery_year_1_2_str,neg_govt_expenditure_recovery_year_3_4_str,neg_govt_expenditure_recovery_year_str,neg_govt_expenditure_crisis_shock,neg_govt_expenditure_recovery_time_1_2,neg_govt_expenditure_recovery_time_3_4,neg_govt_expenditure_recovery_time,Total_Revenue_excl_SC_value_crisis,Total_Revenue_excl_SC_value_pre_crisis,Total_Revenue_excl_SC_crisis_year,Total_Revenue_excl_SC_turn_around_year,Total_Revenue_excl_SC_recovery_year_1_2,Total_Revenue_excl_SC_recovery_year_3_4,Total_Revenue_excl_SC_recovery_year,Total_Revenue_excl_SC_recovery_year_1_2_str,Total_Revenue_excl_SC_recovery_year_3_4_str,Total_Revenue_excl_SC_recovery_year_str,Total_Revenue_excl_SC_crisis_shock,Total_Revenue_excl_SC_recovery_time_1_2,Total_Revenue_excl_SC_recovery_time_3_4,Total_Revenue_excl_SC_recovery_time,Tax_Revenue_value_crisis,Tax_Revenue_value_pre_crisis,Tax_Revenue_crisis_year,Tax_Revenue_turn_around_year,Tax_Revenue_recovery_year_1_2,Tax_Revenue_recovery_year_3_4,Tax_Revenue_recovery_year,Tax_Revenue_recovery_year_1_2_str,Tax_Revenue_recovery_year_3_4_str,Tax_Revenue_recovery_year_str,Tax_Revenue_crisis_shock,Tax_Revenue_recovery_time_1_2,Tax_Revenue_recovery_time_3_4,Tax_Revenue_recovery_time,Income_Taxes_value_crisis,Income_Taxes_value_pre_crisis,Income_Taxes_crisis_year,Income_Taxes_turn_around_year,Income_Taxes_recovery_year_1_2,Income_Taxes_recovery_year_3_4,Income_Taxes_recovery_year,Income_Taxes_recovery_year_1_2_str,Income_Taxes_recovery_year_3_4_str,Income_Taxes_recovery_year_str,Income_Taxes_crisis_shock,Income_Taxes_recovery_time_1_2,Income_Taxes_recovery_time_3_4,Income_Taxes_recovery_time,Value_Added_Tax_value_crisis,Value_Added_Tax_value_pre_crisis,Value_Added_Tax_crisis_year,Value_Added_Tax_turn_around_year,Value_Added_Tax_recovery_year_1_2,Value_Added_Tax_recovery_year_3_4,Value_Added_Tax_recovery_year,Value_Added_Tax_recovery_year_1_2_str,Value_Added_Tax_recovery_year_3_4_str,Value_Added_Tax_recovery_year_str,Value_Added_Tax_crisis_shock,Value_Added_Tax_recovery_time_1_2,Value_Added_Tax_recovery_time_3_4,Value_Added_Tax_recovery_time,Excise_Taxes_value_crisis,Excise_Taxes_value_pre_crisis,Excise_Taxes_crisis_year,Excise_Taxes_turn_around_year,Excise_Taxes_recovery_year_1_2,Excise_Taxes_recovery_year_3_4,Excise_Taxes_recovery_year,Excise_Taxes_recovery_year_1_2_str,Excise_Taxes_recovery_year_3_4_str,Excise_Taxes_recovery_year_str,Excise_Taxes_crisis_shock,Excise_Taxes_recovery_time_1_2,Excise_Taxes_recovery_time_3_4,Excise_Taxes_recovery_time,Trade_Taxes_value_crisis,Trade_Taxes_value_pre_crisis,Trade_Taxes_crisis_year,Trade_Taxes_turn_around_year,Trade_Taxes_recovery_year_1_2,Trade_Taxes_recovery_year_3_4,Trade_Taxes_recovery_year,Trade_Taxes_recovery_year_1_2_str,Trade_Taxes_recovery_year_3_4_str,Trade_Taxes_recovery_year_str,Trade_Taxes_crisis_shock,Trade_Taxes_recovery_time_1_2,Trade_Taxes_recovery_time_3_4,Trade_Taxes_recovery_time,Total_Non_Tax_Revenue_value_crisis,Total_Non_Tax_Revenue_value_pre_crisis,Total_Non_Tax_Revenue_crisis_year,Total_Non_Tax_Revenue_turn_around_year,Total_Non_Tax_Revenue_recovery_year_1_2,Total_Non_Tax_Revenue_recovery_year_3_4,Total_Non_Tax_Revenue_recovery_year,Total_Non_Tax_Revenue_recovery_year_1_2_str,Total_Non_Tax_Revenue_recovery_year_3_4_str,Total_Non_Tax_Revenue_recovery_year_str,Total_Non_Tax_Revenue_crisis_shock,Total_Non_Tax_Revenue_recovery_time_1_2,Total_Non_Tax_Revenue_recovery_time_3_4,Total_Non_Tax_Revenue_recovery_time
58,DOM,,47825464215.39148,2008,,,,,Trend,Trend,Trend,,,,,,7.4159521999999996,2008,,,,,Trend,Trend,Trend,,,,,-2.5563691000000004,2.6969366000000004,2008,2013,2015,2015,2018,2015,2015,Did not Recover,-5.2533057,7,7,10,-16.149003737540582,-13.586233752629239,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.562769984911343,10,10,10,12.628733051319001,16.28317034718205,2008,2012,2015,2015,2015,2015,2015,2015,-3.6544372958630493,7,7,7,12.281588223337309,15.033466170108301,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.7518779467709926,10,10,10,2.721334148333348,3.824566450733748,2008,2011,2012,2012,2012,2012,2012,2012,-1.1032323024004,4,4,4,4.614017852203163,5.2777141002518,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.6636962480486375,10,10,10,2.216235345257485,3.2901856622877013,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-1.0739503170302163,10,10,10,,1.6136811090361491,2008,,,,,Trend,Trend,Trend,,,,,0.2712127306091576,1.24970417707377,2008,2013,2015,2015,2015,2015,2015,2015,-0.9784914464646124,7,7,7
59,DZA,,149526919452.5767,2008,,,,,Trend,Trend,Trend,,,,,1.6322461000000001,3.3728697,2008,2010,2010,2010,2010,2010,2010,2010,-1.7406235999999997,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,28.616125974900942,47.00417432563362,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-18.388048350732678,9,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,1.5177341396782402,1.705452331102535,2010,2011,2012,2012,2012,2012,2012,2012,-0.1877181914242947,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
60,EAP,,6148548834247.378,2008,,,,,Trend,Trend,Trend,,,,,6.331982599999999,12.163594999999999,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.8316124,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
61,EAR,,7677378127510.207,2008,,,,,Trend,Trend,Trend,,,,,,6.2042345999999995,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-22.088964676392788,,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
62,EAS,,15077102924254.78,2008,,,,,Trend,Trend,Trend,,,,,1.3919982,6.4625983,2008,2010,2010,2010,2010,2010,2010,2010,-5.0706001,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
63,ECA,2944557482063.803,3132214698367.323,2009,2010,2010,2010,2011,2010,2010,2011,-187657216303.52002,1,1,2,,7.679625,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-33.667111479160035,,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
64,ECS,20395585694526.5,21349808758409.98,2009,2010,2010,2011,2011,2010,2011,2011,-954223063883.4805,1,2,2,,3.704015,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-37.533825137080036,-33.2596044408566,2008,2010,2016,2018,2018,2016,Did not Recover,Did not Recover,-4.274220696223438,8,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
65,ECU,,62815127109.24326,2008,,,,,Trend,Trend,Trend,,,,,-1.2263856000000002,6.3571334,2009,2017,2018,2018,2011,Did not Recover,Did not Recover,2011,-7.583519000000001,9,9,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,9.311137468632372,2008,,,,,Trend,Trend,Trend,,,,,3.3760362303213287,4.022240882917466,2010,2011,2011,2013,2013,2011,2013,2013,-0.6462046525961376,1,3,3,4.573803085989995,4.918383390840653,2008,2009,2009,2010,2010,2009,2010,2010,-0.34458030485065727,1,2,2,0.7167786308381318,0.7668069880025258,2009,2010,2010,2010,2011,2010,2010,2011,-0.05002835716439402,1,1,2,1.277884817771158,1.330344259723965,2008,2009,2009,2009,2009,2009,2009,2009,-0.05245944195280705,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
66,EGY,,185596566592.5588,2008,,,,,Trend,Trend,Trend,,,,,1.7645726000000002,7.156287700000001,2009,2012,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.391715100000001,9,9,9,-16.937344,-6.8195600999999995,2008,2015,,,2009,Did not Recover,Did not Recover,2009,-10.1177839,,,1,-32.92062910798122,-29.33523093447906,2008,2015,2015,2015,2010,2015,2015,2010,-3.58539817350216,7,7,2,15.98328638497653,25.05101072411502,2010,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-9.06772433913849,8,8,8,12.2206572769953,14.59843016373849,2008,2015,2018,2018,2009,Did not Recover,Did not Recover,2009,-2.3777728867431893,10,10,1,5.3119194729735275,7.474407480664352,2008,2016,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.1624880076908246,10,10,10,3.215586854460094,3.5089321652469154,2009,2015,2015,2016,2010,2015,2016,2010,-0.2933453107868216,6,7,1,0.7637025181686008,0.827311626671638,2008,2009,2009,2009,2009,2009,2009,2009,-0.06360910850303725,1,1,1,0.8309859154929577,1.4889597141877051,2009,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.6579737986947474,9,9,9,4.723004694835682,10.1564268037173,2010,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.433422108881619,8,8,8
67,EMU,12382873800925.8,12968747877476.46,2009,2010,2011,2011,2015,2011,2011,2015,-585874076550.6602,2,2,6,,3.0558145,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-38.57310295961249,-34.42983632273244,2008,2010,2016,2018,2018,2016,Did not Recover,Did not Recover,-4.14326663688005,8,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
68,ERI,1994276818.236432,2210534025.985084,2008,2009,2010,2011,2011,2010,2011,2011,-216257207.74865198,2,3,3,-9.7830353,1.426823,2008,2009,2009,2009,2009,2009,2009,2009,-11.2098583,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,21.2,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
69,ESP,1352355243630.245,1484466583143.3691,2009,2014,2016,2016,2017,2016,2016,2017,-132111339513.12402,7,7,8,,3.7689964999999996,2008,,,,,Trend,Trend,Trend,,,,,1.4584351999999998,12.183303,2008,2010,2016,2018,2018,2016,Did not Recover,Did not Recover,-10.7248678,8,10,10,,-17.1498197647877,2008,,,,,Trend,Trend,Trend,,,,,23.06836967135347,29.333122469399783,2008,2010,2012,2018,2018,2012,Did not Recover,Did not Recover,-6.264752798046313,4,10,10,18.08903301142638,24.72619908416258,2008,2010,2013,2018,2018,2013,Did not Recover,Did not Recover,-6.6371660727362,5,10,10,8.844937282557302,12.212906639951319,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-3.367969357394017,10,10,10,,7.47767040154489,2008,,,,,Trend,Trend,Trend,,,,,,2.35309955726593,2008,,,,,Trend,Trend,Trend,,,,,,0.0085456819544963,2008,,,,,Trend,Trend,Trend,,,,,4.579146364591239,4.606923385237193,2008,2009,2009,2009,2009,2009,2009,2009,-0.027777020645954664,1,1,1
70,EST,19060348608.48093,23632206205.70445,2008,2010,2012,2014,2016,2012,2014,2016,-4571857597.223518,4,6,8,,7.7481909,2008,,,,,Trend,Trend,Trend,,,,,-10.002087,-2.888864,2008,2011,2012,2018,2018,2012,Did not Recover,Did not Recover,-7.113223,4,10,10,-40.3854239347559,-29.10649937685162,2008,2010,2011,2018,2018,2011,Did not Recover,Did not Recover,-11.27892455790428,3,10,10,25.39337660776535,26.21763522165986,2008,2009,2009,2009,2009,2009,2009,2009,-0.8242586138945107,1,1,1,19.71592668966494,20.72303189218855,2008,2012,2012,2013,2009,2012,2013,2009,-1.0071052025236114,4,5,1,6.221703160117924,7.675742276715952,2009,2012,2013,2014,2015,2013,2014,2015,-1.454039116598028,4,5,6,7.740473614617142,8.67937069333496,2008,2009,2009,2009,2015,2009,2009,2015,-0.9388970787178179,1,1,7,3.2256280802981134,3.51679980486615,2008,2009,2009,2009,2009,2009,2009,2009,-0.2911717245680365,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,5.44532128699179,8.660357444413169,2010,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-3.2150361574213786,8,8,8
71,ETH,,22063798449.164482,2008,,,,,Trend,Trend,Trend,,,,,8.8025541,11.456172,2008,2010,2010,2010,2010,2010,2010,2010,-2.6536179000000004,2,2,2,-0.96679741,4.8846354000000005,2008,2009,2011,2012,2012,2011,2012,2012,-5.85143281,3,4,4,-12.87806064081609,-7.693193532277662,2008,2009,2012,2012,2018,2012,2012,Did not Recover,-5.184867108538428,4,4,10,11.89956428886671,12.57782881411681,2008,2010,2010,2010,2010,2010,2010,2010,-0.6782645252500998,2,2,2,,10.0140221700318,2008,,,,,Trend,Trend,Trend,,,,,,2.809050358632868,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,4.725413596311535,2008,,,,,Trend,Trend,Trend,,,,,1.2306459595126442,2.56380664408501,2008,2015,2016,2016,2009,2016,2016,2009,-1.3331606845723656,8,8,1
72,EUU,16637428831486.71,17393842582223.12,2009,2010,2011,2011,2014,2011,2011,2014,-756413750736.4082,2,2,5,,3.080164,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-38.82499054031506,-34.69871062778979,2008,2010,2016,2018,2018,2016,Did not Recover,Did not Recover,-4.126279912525277,8,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
73,FCS,,548919607487.0839,2008,,,,,Trend,Trend,Trend,,,,,,5.3663859,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
74,FIN,240600244424.1832,262289019320.0923,2009,2010,2011,2017,2018,2011,2017,Did not Recover,-21688774895.90909,2,8,9,-8.2690353,5.184801599999999,2008,2010,2010,2010,2018,2010,2010,Did not Recover,-13.453836899999999,2,2,10,0.92292029,7.664584599999999,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-6.741664309999999,10,10,10,-40.49551225972344,-32.63449367088608,2008,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-7.861018588837361,10,10,10,39.32030950147174,40.59201010539257,2009,2011,2011,2011,2011,2011,2011,2011,-1.2717006039208272,2,2,2,,30.00740115032073,2008,,,,,Trend,Trend,Trend,,,,,14.400498178927538,16.248946437426408,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-1.8484482584988697,10,10,10,8.316248462412153,8.513060579987712,2008,2009,2009,2009,2009,2009,2009,2009,-0.1968121175755595,1,1,1,3.1686344119840624,3.2184239715476965,2008,2009,2009,2009,2009,2009,2009,2009,-0.04978955956363418,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,10.191777299742089,10.97274911740237,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.7809718176602818,9,9,9
75,FJI,3050380106.789889,3093253763.442861,2009,2010,2010,2010,2010,2010,2010,2010,-42873656.65297222,1,1,1,-1.3860413999999999,1.0327979,2009,2010,2010,2010,2010,2010,2010,2010,-2.4188393,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,22.17945236040454,23.709306149293,2009,2011,2011,2011,2013,2011,2011,2013,-1.5298537888884596,2,2,4,,20.67340067340067,2008,,,,,Trend,Trend,Trend,,,,,5.2950202596314915,7.373737373737372,2008,2014,2016,2016,2009,2016,2016,2009,-2.0787171141058804,8,8,1,,7.845117845117844,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,1.9072258446996888,3.2719500164419597,2009,2014,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-1.364724171742271,9,9,9
76,FRA,2591666269727.401,2670206139232.811,2009,2010,2010,2011,2011,2010,2011,2011,-78539869505.41016,1,2,2,,2.3614938,2008,,,,,Trend,Trend,Trend,,,,,-15.46633,-10.031721000000001,2008,2011,2011,2017,2018,2011,2017,Did not Recover,-5.434608999999998,3,9,10,-49.32403626742793,-44.195159578851936,2008,2011,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.128876688575993,10,10,10,33.69282376757109,34.27065133157329,2009,2010,2011,2011,2011,2011,2011,2011,-0.5778275640021988,2,2,2,,26.714147350311123,2008,,,,,Trend,Trend,Trend,,,,,8.569717468317824,10.203380429436152,2009,2010,2010,2011,2012,2010,2011,2012,-1.6336629611183273,1,2,3,,7.900510260848066,2008,,,,,Trend,Trend,Trend,,,,,2.207444814744175,2.255385142374418,2008,2009,2009,2009,2009,2009,2009,2009,-0.04794032763024303,1,1,1,0.0186674228811776,0.0197800510981996,2008,2009,2009,2010,2010,2009,2010,2010,-0.001112628217022002,1,2,2,7.8451742627345835,8.598392910628892,2010,2013,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.7532186478943084,8,8,8
77,FRO,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
78,FSM,282538297.9721313,293724716.4174582,2008,2015,2015,2015,2010,2015,2015,2010,-11186418.445326865,7,7,2,-3.8585258000000002,-1.9624039,2008,2014,2014,2014,2009,2014,2014,2009,-1.8961219000000002,6,6,1,2.7743936000000002,,2008,2009,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,-22.165526005316163,,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,20.5448717948718,20.43312084333693,2008,2012,2012,2012,2008,2012,2012,2008,0.11175095153486936,4,4,0,11.10103784690744,10.778762038800117,2008,2009,2009,2009,2008,2009,2009,2008,0.3222758081073227,1,1,0,7.918487747452742,7.638187487926706,2008,2009,2009,2009,2008,2009,2009,2008,0.28030025952603577,1,1,0,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,0.5815878797913735,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,8.58974358974359,9.888637809019931,2009,2012,2012,2012,2012,2012,2012,2012,-1.2988942192763417,3,3,3
79,GAB,13390522031.744879,13848696552.96061,2008,2009,2010,2010,2010,2010,2010,2010,-458174521.21573067,2,2,2,-3.3084326,6.0081062,2008,2009,2010,2010,2010,2010,2010,2010,-9.3165388,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,25.78929806002326,29.92157322390696,2009,2011,2011,2012,2012,2011,2012,2012,-4.132275163883701,2,3,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,1.187753206051661,1.5499249443813459,2008,2016,2016,2016,2011,2016,2016,2011,-0.36217173832968497,8,8,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,3.333084655537132,4.728613006721877,2008,2017,2018,2018,2009,Did not Recover,Did not Recover,2009,-1.3955283511847445,10,10,1,0.1780086946121775,,2008,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10
