Country_Code,year,GDP_PC_Constant_USD
AFW,1997,1149.044818068764
AFW,1998,1159.052395743687
AFW,1999,1144.288161566972
AFW,2000,1154.3612284796004
AFW,2001,1187.6956707485638
AFW,2002,1271.3184251271364
AFW,2003,1310.5190133318663
AFW,2004,1378.0566734711597
AFW,2005,1421.7628701741394
AFW,2006,1456.171078221781
AFW,2007,1495.829583515901
AFW,2008,1544.9734416728586
AFW,2009,1595.3051925838963
AFW,2010,1655.1301381372778
AFW,2011,1691.0381253879646
AFW,2012,1732.322036431386
AFW,2013,1784.2109764198528
AFW,2014,1837.835075801022
AFW,2015,1837.778448191565
AFW,2016,1788.8989172631339
AFW,2017,1779.223223317733
AFW,2018,1781.4297660401025
AFW,2019,1789.4679081064498
AFW,2020,1726.0226449262902
AGO,1980,3193.4034786173816
AGO,1981,2947.1831974178804
AGO,1982,2844.315208801509
AGO,1983,2859.916740458605
AGO,1984,2925.366158078554
AGO,1985,2922.2180281321384
AGO,1986,2902.6164433338176
AGO,1987,2916.794753525797
AGO,1988,2989.6163157548967
AGO,1989,2889.8840932068515
AGO,1990,2697.4910059033105
AGO,1991,2635.155549517923
AGO,1992,2401.2346044996275
AGO,1993,1767.0260110744298
AGO,1994,1733.843073609214
AGO,1995,1930.7996479474114
AGO,1996,2122.9680164186407
AGO,1997,2205.2937035960467
AGO,1998,2235.3903174790653
AGO,1999,2211.1296609858905
AGO,2000,2205.204799802468
AGO,2001,2223.334633089555
AGO,2002,2444.4176428255614
AGO,2003,2433.861819023794
AGO,2004,2608.78501823161
AGO,2005,2896.5544310319433
AGO,2006,3116.1804200551796
AGO,2007,3424.372193321462
AGO,2008,3668.079554008258
AGO,2009,3565.0578864653
AGO,2010,3587.8836446283685
