Country_Code,year,GDP_PC_Constant_USD,ln_GDP_PC_Constant_USD,GDP_Current_LCU,GDP_Constant_USD
GBR,2020,39102.89657809628,10.573951824510809,2112039000000.0,2628312650645.439
GEO,1965,1872.967278935467,7.535279232422544,3900.0,7345028481.073327
GEO,1966,1991.2074888117556,7.596496512000385,4200.0,7898522745.869591
GEO,1967,2095.007334722394,7.647312333410918,4500.0,8392180381.430964
GEO,1968,2168.6079799652603,7.681840756808707,4700.0,8766164037.413572
GEO,1969,2251.0659707052264,7.719159147765255,5100.0,9185024480.268536
GEO,1970,2498.1223592459633,7.823294672370594,5700.0,10292014307.857445
GEO,1971,2533.3469630972604,7.837296617761811,6000.0,10546323407.373896
GEO,1972,2579.009653000441,7.8551607487981245,6100.0,10845509293.762754
GEO,1973,2722.1208720683426,7.909166587834748,6500.0,11548597799.749943
GEO,1974,2936.285121792328,7.984900497346397,7200.0,12565832178.710268
GEO,1975,3129.8268181434073,8.048732952336813,7800.0,13493309378.379858
GEO,1976,3296.811114833953,8.100710951419662,8300.0,14316072585.054958
GEO,1977,3500.2373486324336,8.160586059073228,9000.0,15303387711.955864
GEO,1978,3738.385048155426,8.226408991847784,9700.0,16440295926.273117
GEO,1979,3984.4708210223484,8.29015978968948,10700.0,17652002631.29321
GEO,1980,4131.83635304446,8.32647722467413,11300.0,18459805274.496735
GEO,1981,4313.944150153455,8.369607880679267,12300.0,19432161424.366238
GEO,1982,4363.190900923385,8.38095892667555,13000.0,19821103624.714752
GEO,1983,4511.070517335388,8.414289769592882,13200.0,20673785073.89635
GEO,1984,4715.446208506076,8.458598826540246,14000.0,21795735464.956783
GEO,1985,4905.274744862826,8.4980663836546,14000.0,22872805607.820873
GEO,1986,4464.42568711023,8.403895859530403,13700.0,21002890645.010075
GEO,1987,4484.485443755089,8.408379039651372,14200.0,21272156702.452267
GEO,1988,4686.985977570624,8.452545006147508,14600.0,22453943722.747585
GEO,1989,4338.3376300343625,8.375246519163683,14400.0,20838337138.344055
GEO,1990,3697.775253750436,8.215486635019182,15000.0,17756716768.509594
GEO,1991,2897.092454580143,7.971462911164201,19200.0,14010049401.104115
GEO,1992,1583.9822091204253,7.367697340695403,149200.0,7719537296.148393
GEO,1993,1111.30148359774,7.013287115201724,16396899.999999998,5457712716.096861
GEO,1994,1011.1732988953386,6.918866617679387,902300000.0,4890110922.628573
GEO,1995,1077.1904476981179,6.9821114931837895,2432203500.0,5017253646.4333725
GEO,1996,1242.1104253774506,7.1245671678628435,3868500000.0,5579186155.557469
GEO,1997,1417.514108236328,7.256659988452785,4554900000.0,6166063047.10061
GEO,1998,1498.1390374344187,7.311978975146865,5022100000.0,6357513306.229961
GEO,1999,1573.1596482938062,7.360841390784135,5668700000.0,6539926704.609825
GEO,2000,1633.5390898443704,7.398504160870734,6043100000.0,6660152862.916268
GEO,2001,1738.8028956513122,7.460952164429165,6674000000.0,6980203396.624445
GEO,2002,1850.5116454122208,7.523217444922984,7456000000.0,7362288338.947202
GEO,2003,2069.08139285388,7.634860016195498,8564100000.0,8176463427.070821
GEO,2004,2202.5717919914787,7.697380952961957,9824300000.0,8650248301.559814
GEO,2005,2429.1724723376183,7.795305931972393,11620900000.0,9479770268.950912
GEO,2006,2673.148274163422,7.891012185667954,13789900000.0,10372742886.205212
GEO,2007,3025.1418163110634,8.014713250791187,16993800000.0,11677525383.367682
GEO,2008,3107.7337137031604,8.041649030115309,19074900000.0,11959954702.767214
GEO,2009,3020.9987225100012,8.013342758516673,17986000000.0,11523354926.117876
GEO,2010,3233.2959434742097,8.081257311882547,21821600000.0,12243505582.674072
GEO,2011,3500.527488525832,8.160668947129123,25478700000.0,13149524979.525465
GEO,2012,3751.0034712128945,8.229778675491454,27227300000.0,13987019317.715511
GEO,2013,3898.5546845086783,8.268361169715194,28593100000.0,14493531996.84801
GEO,2014,4069.4244951379223,8.311256866752466,31124000000.0,15135874439.15892
GEO,2015,4185.813870842466,8.339456437335677,33935000000.0,15593311953.516537
GEO,2016,4304.8961756518465,8.367508299416965,35836000000.0,16046522019.223135
GEO,2017,4512.761094682541,8.414664461284753,40761600000.0,16823591412.020891
GEO,2018,4733.157799856101,8.462347869696151,44599400000.0,17638344465.89595
GEO,2019,4977.512695067296,8.512685586425766,49252653900.0,18517148605.194244
GEO,2020,4678.662578245083,8.4507675741913,49407260800.0,17376552815.602238
GHA,1960,1056.7264958554554,6.962931197283723,86900.0,7011622290.368497
GHA,1961,1058.9646494078152,6.9650469639373656,93000.0,7252098077.857697
