Country_Name,year,Country_Code,Region_Code,IDA_IBRD,Tax_Revenue
,2018,MAR,MENA,IBRD,0.21874242514067174
,2019,MAR,MENA,IBRD,0.21448287120243317
,2018,MDA,ECA,IBRD,0.1981938363085214
,2019,MDA,ECA,IBRD,0.19064441049219652
,2018,MDG,SSA,IDA,0.10125488447836395
Madagascar,2019,MDG,SSA,IDA,0.10231630443995843
,2018,MDV,SA,IDA,0.19374019223224795
Maldives,2019,MDV,SA,IDA,0.19045259713324422
,2018,MEX,LAC,IBRD,0.13065272294432104
,2019,MEX,LAC,IBRD,0.13148222821166458
,2018,MHL,EAP,IDA,0.17756306306306305
,2019,MHL,EAP,IDA,0.17449790794979078
,2018,MKD,ECA,IBRD,0.1732546298327828
,2019,MKD,ECA,IBRD,0.16927149436124306
,2018,MLI,SSA,IDA,0.11875181924412252
Mali,2019,MLI,SSA,IDA,0.14753029745697607
,2018,MLT,ECA,NONE,0.25768395964089935
,2019,MLT,ECA,NONE,0.25500809299587995
,2018,MMR,EAP,IDA,0.029784865915083
Myanmar,2019,MMR,EAP,IDA,0.0643927287772484
,2018,MNE,ECA,IBRD,0.26163414111087285
,2019,MNE,ECA,IBRD,0.27166229044637447
,2018,MNG,EAP,IBRD,0.2288405064665878
,2019,MNG,EAP,IBRD,0.23486595259119697
,2018,MOZ,SSA,IDA,0.19764015422631695
Mozambique,2019,MOZ,SSA,IDA,0.2505262409776063
,2018,MRT,MENA,IDA,0.13996190809433115
Mauritania,2019,MRT,MENA,IDA,0.12165868209967765
,2018,MSR,LAC,NONE,
,2019,MSR,LAC,NONE,
,2018,MUS,SSA,IBRD,0.1901069106670878
,2019,MUS,SSA,IBRD,0.1972527174840021
,2018,MWI,SSA,IDA,0.1740801943377244
Malawi,2019,MWI,SSA,IDA,0.1727833288074492
,2018,MYS,EAP,IBRD,0.12028049328128779
,2019,MYS,EAP,IBRD,0.11954802110293972
,2018,NAM,SSA,IBRD,0.28832268008773043
,2019,NAM,SSA,IBRD,0.30245980334815764
,2018,NER,SSA,IDA,0.1104530959806567
Niger,2019,NER,SSA,IDA,0.10363584689918638
,2018,NGA,SSA,IDA,
,2019,NGA,SSA,IDA,
,2018,NIC,LAC,IDA,0.17183730746930545
,2019,NIC,LAC,IDA,0.19229325028815036
,2018,NLD,WER,NONE,0.24838789281990525
,2019,NLD,WER,NONE,0.2584643941909072
,2018,NOR,WER,NONE,0.29280396184473395
,2019,NOR,WER,NONE,0.29150649154124014
,2018,NPL,SA,IDA,0.2196212329460785
Nepal,2019,NPL,SA,IDA,0.19357246140211765
,2018,NRU,EAP,IBRD,0.29625
,2019,NRU,EAP,IBRD,0.32228915662650603
,2018,NZL,EAP,NONE,0.3297270163341061
,2019,NZL,EAP,NONE,0.31238945268888696
,2018,OMN,MENA,NONE,
,2019,OMN,MENA,NONE,
Pakistan,2018,PAK,SA,IDA,0.11745509505902291
Pakistan,2019,PAK,SA,IDA,0.1142498015825557
,2018,PAN,LAC,IBRD,0.092
,2019,PAN,LAC,IBRD,0.08199999999999999
,2018,PER,LAC,IBRD,0.14044523926952363
,2019,PER,LAC,IBRD,0.14168056167036153
,2018,PHL,EAP,IBRD,0.1404753347761507
,2019,PHL,EAP,IBRD,0.1448954439390011
,2018,PLW,EAP,IBRD,0.21214957555172947
,2019,PLW,EAP,IBRD,0.2000142857142857
,2018,PNG,EAP,IDA,0.131414898306152
Papua New Guinea,2019,PNG,EAP,IDA,0.12421976245110511
,2018,POL,ECA,IBRD,0.22052593374686552
,2019,POL,ECA,IBRD,0.21953237693094496
,2018,PRT,WER,NONE,0.2534216215689333
,2019,PRT,WER,NONE,0.24945972170937936
,2018,PRY,LAC,IBRD,0.09917484789360441
,2019,PRY,LAC,IBRD,0.09824312800680013
,2018,QAT,MENA,NONE,
,2019,QAT,MENA,NONE,
,2018,ROU,ECA,IBRD,0.153322742083093
,2019,ROU,ECA,IBRD,0.15429592039236809
,2018,RUS,ECA,IBRD,0.2670007712178792
,2019,RUS,ECA,IBRD,0.25999952377986907
,2018,RWA,SSA,IDA,0.15898671330358222
,2019,RWA,SSA,IDA,0.16738056013179572
,2018,SAU,MENA,NONE,0.04746632256437847
,2019,SAU,MENA,NONE,
,2018,SDN,SSA,IDA,0.06743393444896112
,2019,SDN,SSA,IDA,0.05444020199531962
Senegal,2018,SEN,SSA,IDA,0.1536986493085329
Senegal,2019,SEN,SSA,IDA,0.17648734527149393
,2018,SGP,EAP,NONE,0.13054513860635664
,2019,SGP,EAP,NONE,0.13244569853925106
,2018,SLB,EAP,IDA,0.26190362063009104
,2019,SLB,EAP,IDA,0.22925059998207886
,2018,SLE,SSA,IDA,0.11755582883402207
Sierra Leone,2019,SLE,SSA,IDA,0.12278617998461402
,2018,SLV,LAC,IBRD,0.18062181720718307
,2019,SLV,LAC,IBRD,0.17986529992968953
,2018,SMR,WER,NONE,0.17500634022824538
,2019,SMR,WER,NONE,0.1648763462603878
,2018,SOM,SSA,IDA,0.029421732683753442
,2019,SOM,SSA,IDA,0.03122226704316257
,2018,SRB,ECA,IBRD,0.2369439357531052
,2019,SRB,ECA,IBRD,
,2018,SSD,SSA,IDA,
,2019,SSD,SSA,IDA,
,2018,STP,SSA,IDA,0.12750899176238542
Sao Tome and Principe,2019,STP,SSA,IDA,0.1256771397616468
,2018,SUR,LAC,IBRD,0.1602011216399149
,2019,SUR,LAC,IBRD,
,2018,SVK,ECA,NONE,0.19570932674904476
,2019,SVK,ECA,NONE,0.1981936398018431
,2018,SVN,ECA,NONE,0.2188499880077622
,2019,SVN,ECA,NONE,0.2167330192383196
,2018,SWE,WER,NONE,0.3432456091261746
,2019,SWE,WER,NONE,0.3364711219368525
,2018,SWZ,SSA,IBRD,0.24216117684139807
,2019,SWZ,SSA,IBRD,0.25328146234439686
,2018,SYC,SSA,IBRD,0.33306884401114206
,2019,SYC,SSA,IBRD,0.33458002883922133
,2018,SYR,MENA,IDA,
,2019,SYR,MENA,IDA,
,2018,TCD,SSA,IDA,0.07133700214775791
Chad,2019,TCD,SSA,IDA,0.0930383756242258
,2018,TGO,SSA,IDA,0.12706478042970415
Togo,2019,TGO,SSA,IDA,0.13154904506282797
,2018,THA,EAP,IBRD,0.16468698895631237
,2019,THA,EAP,IBRD,0.16131596659126923
,2018,TJK,ECA,IDA,0.2128435303003893
Tajikistan,2019,TJK,ECA,IDA,0.20383944153577663
,2018,TKM,ECA,IBRD,
,2019,TKM,ECA,IBRD,
,2018,TLS,EAP,IDA,
,2019,TLS,EAP,IDA,
,2018,TON,EAP,IDA,0.21904082013047527
Tonga,2019,TON,EAP,IDA,0.209
,2018,TTO,LAC,IBRD,0.2004817129456378
,2019,TTO,LAC,IBRD,0.2150529995662048
,2018,TUN,MENA,IBRD,0.22588110163588784
,2019,TUN,MENA,IBRD,
,2018,TUR,MENA,IBRD,0.1680411785052896
,2019,TUR,MENA,IBRD,0.15838095778194938
,2018,TUV,EAP,IDA,
,2019,TUV,EAP,IDA,
,2018,TZA,SSA,IDA,0.11697718347572911
Tanzania,2019,TZA,SSA,IDA,0.117444162719206
,2018,UGA,SSA,IDA,0.10883333070107554
Uganda,2019,UGA,SSA,IDA,0.1147229460288211
,2018,UKR,ECA,IBRD,0.26040476510282107
,2019,UKR,ECA,IBRD,0.2545811863451552
,2018,URY,LAC,IBRD,
,2019,URY,LAC,IBRD,
,2018,USA,NAM,NONE,0.18345623543315798
,2019,USA,NAM,NONE,0.18365143144547041
,2018,UZB,ECA,IDA,0.1740987438440084
,2019,UZB,ECA,IDA,0.19190495672464225
,2018,VCT,LAC,IDA,0.25148334094020997
St. Vincent and the Grenadines,2019,VCT,LAC,IDA,0.24854194706146254
,2018,VEN,LAC,IBRD,
,2019,VEN,LAC,IBRD,
Vietnam,2018,VNM,EAP,IBRD,0.15017866746065409
Vietnam,2019,VNM,EAP,IBRD,0.1455398409703403
,2018,VUT,EAP,IDA,0.17837447503746118
,2019,VUT,EAP,IDA,0.17711694552182874
,2018,WBG,MENA,NONE,0.05230904624858544
,2019,WBG,MENA,NONE,
,2018,WSM,EAP,IDA,0.2494418799573055
,2019,WSM,EAP,IDA,0.25663851809054233
,2018,YEM,MENA,IDA,
"Yemen, Rep.",2019,YEM,MENA,IDA,0.0268120734643449
,2018,ZAF,SSA,IBRD,0.28165763775531755
,2019,ZAF,SSA,IBRD,0.2847168923316193
,2018,ZMB,SSA,IDA,0.16077041882438448
Zambia,2019,ZMB,SSA,IDA,0.16677607547703602
,2018,ZWE,SSA,IDA,0.11630611770179111
,2019,ZWE,SSA,IDA,
