Country_Code,year,GDP_Constant_USD
FJI,2019,4217157352.325267
FJI,2020,3413841317.6628795
FRA,1960,594143057742.5365
FRA,1961,623732046562.0057
FRA,1962,666416961956.7739
FRA,1963,707959262511.6124
FRA,1964,755053417127.1611
FRA,1965,791760397108.2471
FRA,1966,833342362956.4495
FRA,1967,874352381611.6881
FRA,1968,913622247820.1309
FRA,1969,978575996273.9889
FRA,1970,1038354070611.7887
FRA,1971,1093560406549.9218
FRA,1972,1142895006608.9016
FRA,1973,1215406902330.2974
FRA,1974,1267680570458.9712
FRA,1975,1255512298032.3015
FRA,1976,1310211941852.1755
FRA,1977,1355601771435.3738
FRA,1978,1409534980612.9949
FRA,1979,1459573319584.543
FRA,1980,1482616264182.3342
FRA,1981,1498465726175.8235
FRA,1982,1536008235776.9834
FRA,1983,1555068022253.9414
FRA,1984,1578607422855.0356
FRA,1985,1604224769973.6995
FRA,1986,1641719936119.9233
FRA,1987,1683779164654.9524
FRA,1988,1763643204660.155
FRA,1989,1840253415111.921
FRA,1990,1894061230299.9253
FRA,1991,1913914322644.1602
FRA,1992,1944524371204.96
FRA,1993,1932299800778.5935
FRA,1994,1977870042046.0332
FRA,1995,2019537736337.4636
FRA,1996,2048073676765.6624
FRA,1997,2095922750995.0723
FRA,1998,2171138280346.8013
FRA,1999,2245421036606.8364
FRA,2000,2333523930837.676
FRA,2001,2379814544862.6274
FRA,2002,2406838088236.232
FRA,2003,2426650234855.519
FRA,2004,2495318440945.622
FRA,2005,2536821075827.5596
FRA,2006,2598956033155.961
FRA,2007,2661973862041.224
FRA,2008,2668760456862.055
FRA,2009,2592078593605.5967
FRA,2010,2642609548930.356
FRA,2011,2700554065228.658
FRA,2012,2709010438478.5166
FRA,2013,2724623188257.8203
FRA,2014,2750675573424.9272
FRA,2015,2781288181330.747
FRA,2016,2811756203322.1104
FRA,2017,2876185347152.3545
FRA,2018,2927751436718.368
FRA,2019,2971919320115.835
FRA,2020,2730750828276.0005
FRO,2010,2320424601.2695365
FSM,1986,204059968.48031944
FSM,1987,206508198.45608813
FSM,1988,211771892.90399078
FSM,1989,219238994.33008522
FSM,1990,227440564.7489103
FSM,1991,244333351.58171418
FSM,1992,254126271.48478892
FSM,1993,274813814.78003424
FSM,1994,273344876.794573
FSM,1995,292518557.08430177
FSM,1996,283209529.83593774
FSM,1997,266044377.4183296
FSM,1998,273628014.5912707
FSM,1999,277388863.0685477
FSM,2000,290797573.8228352
FSM,2001,297100909.1299481
FSM,2002,298726044.1878633
