Country,Country_Code,Region_Code,Income_Group,IDA,Tax_Type,Units(LCU),Reporting,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,tax_2019Q1,tax_2019Q2,tax_2019Q3,tax_2019Q4,tax_2020Q1,tax_2020Q2,tax_2020Q3,tax_2019H1,tax_2019H2,tax_2020H1,tax_2019,gdp_2019Q1,gdp_2019Q2,gdp_2019Q3,gdp_2019Q4,gdp_2020Q1,gdp_2020Q2,gdp_2020Q3,gdp_2019H1,gdp_2019H2,gdp_2020H1,gdp_2019,factor,tax_gdp_2019Q1,tax_gdp_2019Q2,tax_gdp_2019Q3,tax_gdp_2019Q4,tax_gdp_2020Q1,tax_gdp_2020Q2,tax_gdp_2020Q3,tax_gdp_2019H1,tax_gdp_2019H2,tax_gdp_2020H1,tax_gdp_2019
Spain,ESP,WER,High Income,0,Other Taxes,mill lcu,monthly,703.0,587.0,608.0,979.0,778.0,737.0,976.0,618.0,848.0,689.0,869.0,874.0,786.0,888.0,388.0,804.0,723.0,524.0,0.0,0.0,0.0,0.0,1898.0,2494.0,2442.0,2432.0,2062.0,2051.0,0.0,4392.0,4874.0,4113.0,9266.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,0.6357841281751522,0.7900030092335957,0.7989608927946291,0.7485357078002223,0.7097544772703022,0.8178613583437012,0.0,0.7150485816249447,0.772978425115931,0.759838832142679,0.7443933507501775
Spain,ESP,WER,High Income,0,PIT,mill lcu,monthly,12103.0,5230.0,4617.0,6144.0,5062.0,2470.0,18976.0,5131.0,4111.0,9764.0,7926.0,5359.0,12661.0,5784.0,5114.0,5343.0,4247.0,2301.0,0.0,0.0,0.0,0.0,21950.0,13676.0,28218.0,23049.0,23559.0,11891.0,0.0,35626.0,51267.0,35450.0,86893.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,7.352719501287982,4.332029332108522,9.232218866862754,7.0941609905786684,8.10916863725075,4.741681819631863,0.0,5.800164109510537,8.130546762498652,6.549060685499142,6.980635811216833
Spain,ESP,WER,High Income,0,Special Taxes,mill lcu,monthly,1648.0,1738.0,1564.0,1841.0,1755.0,1819.0,1803.0,2028.0,1853.0,1830.0,1859.0,1642.0,1736.0,1811.0,1633.0,1698.0,945.0,1205.0,0.0,0.0,0.0,0.0,4950.0,5415.0,5684.0,5331.0,5180.0,3848.0,0.0,10365.0,11015.0,9028.0,21380.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,1.658130365894101,1.7152631495589095,1.8596616358086289,1.6408075075176745,1.7829913638507107,1.5344371072191916,0.0,1.6874951157883769,1.7468931786319202,1.6678397706258463,1.7175836217395637
Spain,ESP,WER,High Income,0,Tax Revenue,mill lcu,monthly,13538.0,20356.0,9508.0,20887.0,14483.0,8685.0,32717.0,17864.0,11184.0,33888.0,14743.0,14955.0,14770.0,21214.0,11019.0,14213.0,10482.0,6103.0,0.0,0.0,0.0,0.0,43402.0,44055.0,61765.0,63586.0,47003.0,30798.0,0.0,87457.0,125351.0,77801.0,212808.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,14.538621038492073,13.954924848350464,20.20795231099929,19.570884669483934,16.17875348939671,12.281079529141545,0.0,14.238616530777046,19.879691950493854,14.373017500494182,17.096142908098834
Spain,ESP,WER,High Income,0,VAT,mill lcu,monthly,3366.0,13040.0,3301.0,6778.0,5716.0,3265.0,10188.0,4232.0,4170.0,9992.0,4313.0,3177.0,3201.0,13429.0,3832.0,4796.0,4035.0,2226.0,0.0,0.0,0.0,0.0,19707.0,15759.0,18590.0,17482.0,20462.0,11057.0,0.0,35466.0,36072.0,31519.0,71538.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,6.601368711247484,4.991843393148451,6.082179769472627,5.380715971942222,7.043160094037305,4.409114109803171,0.0,5.7741149808538905,5.720738151576089,5.822844675493581,5.747076573059163
France,FRA,WER,High Income,0,CIT,mill lcu,monthly,-228.0,-464.0,8829.0,7189.0,4754.0,11847.0,8071.0,6686.0,18031.0,16729.0,15214.0,33466.0,-575.0,-1470.0,6073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8137.0,23790.0,32788.0,65409.0,4028.0,0.0,0.0,31927.0,98197.0,4028.0,130124.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,1204263.0,1221447.0,1092975.0,2425710.0,1000000,1.361339757746102,3.922228102541782,5.485741055220473,10.486379201990536,0.6955644813140436,0.0,0.0,2.651165069424204,8.039399171638228,0.368535419382877,5.364367545996842
France,FRA,WER,High Income,0,Excises,mill lcu,monthly,1256.0,1188.0,2260.0,3292.0,4343.0,5398.0,6521.0,7800.0,8579.0,9659.0,11264.0,13378.0,132.0,974.0,2279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.0,13033.0,22900.0,34301.0,3385.0,0.0,0.0,17737.0,57201.0,3385.0,74938.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,1204263.0,1221447.0,1092975.0,2425710.0,1000000,0.7869905641437462,2.1487347146039113,3.83138557290926,5.499140684118047,0.5845297341727997,0.0,0.0,1.4728510300490838,4.683052150441239,0.3097051625151536,3.0893223015117224
France,FRA,WER,High Income,0,Income Taxes,mill lcu,monthly,-3161.0,2839.0,19460.0,25453.0,30360.0,44216.0,40292.0,45905.0,67332.0,73594.0,79908.0,105209.0,1429.0,7160.0,21212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19138.0,100029.0,153529.0,258711.0,29801.0,0.0,0.0,119167.0,412240.0,29801.0,531407.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,1204263.0,1221447.0,1092975.0,2425710.0,1000000,3.201833634477682,16.491658464445223,25.686846970444794,41.476580435814235,5.146106531191612,0.0,0.0,9.895429818901686,33.750134062304795,2.7265948443468515,21.907276632408657
France,FRA,WER,High Income,0,Non-Tax Revenuess,mill lcu,monthly,385.0,733.0,1346.0,1853.0,2720.0,7500.0,7969.0,8399.0,9338.0,9879.0,10434.0,13967.0,458.0,2890.0,3352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464.0,12073.0,25706.0,34280.0,6700.0,0.0,0.0,14537.0,59986.0,6700.0,74523.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,1204263.0,1221447.0,1092975.0,2425710.0,1000000,0.4122331526467242,1.9904606928115565,4.300855787650892,5.495773961446216,1.1569717042711252,0.0,0.0,1.2071283432273514,4.911060406223111,0.6130057869576158,3.0722139085051388
France,FRA,WER,High Income,0,Other Taxes,mill lcu,monthly,3213.0,5357.0,7627.0,12408.0,15517.0,20641.0,25531.0,28702.0,27105.0,33211.0,30552.0,33726.0,3459.0,6137.0,8101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16197.0,48566.0,81338.0,97489.0,17697.0,0.0,0.0,64763.0,178827.0,17697.0,243590.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,1204263.0,1221447.0,1092975.0,2425710.0,1000000,2.709797229471994,8.007016814966128,13.608613088615432,15.629448883530634,3.0559594403710597,0.0,0.0,5.377811989573706,14.640586124490051,1.6191587181774516,10.042008319213757
