year,Country_Code,GDP_Curr_USD,GDP_Curr_LCU,LCU_USD_ex_rate
1981,DNK,61877813965.24132,440780420000.0,0.14038240166212765
1982,DNK,60412844678.604004,503383987000.0,0.12001344150544861
1983,DNK,60644782176.05249,554596533000.0,0.10934937124111536
1984,DNK,59105236853.79372,612129296000.0,0.09655678504528513
1985,DNK,62658568287.34287,663955253000.0,0.0943716733985127
1986,DNK,88078760103.81906,712645248000.0,0.12359411692003461
1987,DNK,109414423928.77505,748427484000.0,0.1461924184611786
1988,DNK,115552846616.65306,777843987000.0,0.14855529971031717
1989,DNK,112409222182.70361,821733896000.0,0.13679516292303903
1990,DNK,138247285815.85495,855557153000.0,0.16158743496105743
1991,DNK,139224688814.19528,890550722000.0,0.156335495974361
1992,DNK,152915654478.88538,923014182000.0,0.1656698861847882
1993,DNK,143195627014.6054,928466126000.0,0.15422816514751925
1994,DNK,156162386724.52286,993286477000.0,0.15721787252774896
1995,DNK,185006881515.06497,1036482553000.0,0.17849493074396688
1996,DNK,187632346387.98352,1088023687000.0,0.1724524462379499
1997,DNK,173537647058.82355,1146129390000.0,0.15141191611779847
1998,DNK,176991934992.83667,1185987558000.0,0.14923591212989493
1999,DNK,177965188354.69165,1241520747000.0,0.14334451420544134
2000,DNK,164158739097.62344,1326911504000.0,0.12371491135826601
2001,DNK,164791442543.37482,1371526218000.0,0.12015187196616522
2002,DNK,178635163717.43066,1410271027000.0,0.1266672577805363
2003,DNK,218096033517.00897,1436751240000.0,0.1517980478771043
2004,DNK,251373002954.38232,1506000798000.0,0.16691425614661748
2005,DNK,264467336457.16953,1585984170000.0,0.16675282229151728
2006,DNK,282884947702.9663,1682260207000.0,0.16815766462635368
2007,DNK,319423424509.06555,1738845296000.0,0.18369858735786324
2008,DNK,353361038818.38336,1801469912000.0,0.19615150742433457
2009,DNK,321241303699.00574,1722142505000.0,0.18653584286220595
2010,DNK,321995279401.5016,1810925601000.0,0.177807017153932
2011,DNK,344003137611.2712,1846853613000.0,0.1862644311329461
2012,DNK,327148943812.1366,1895002254000.0,0.17263775972909032
2013,DNK,343584391647.92706,1929677034000.0,0.17805279619031164
2014,DNK,352993631617.708,1981164991000.0,0.1781747775784859
2015,DNK,302673068765.9723,2036356207000.0,0.14863463853992234
2016,DNK,313115929314.3386,2107808218000.0,0.14855048321779463
2017,DNK,329417067127.81683,2175105800000.0,0.15144875579285239
2018,DNK,355675329085.95154,2245954115000.0,0.15836268724748703
2019,DNK,348078018463.9052,2321487762000.0,0.14993747723400888
1960,DOM,672399700.0000001,672399700.0000001,1.0
1961,DOM,654100200.0,654100200.0,1.0
1962,DOM,824100000.0,824100000.0,1.0
1963,DOM,940799900.0,940799900.0,1.0
1964,DOM,1025599899.9999999,1025599899.9999999,1.0
1965,DOM,888100000.0000001,888100000.0000001,1.0
1966,DOM,983900000.0,983900000.0,1.0
1967,DOM,1034800000.0,1034800000.0,1.0
1968,DOM,1079099999.9999998,1079099999.9999998,1.0
1969,DOM,1230500000.0,1230500000.0,1.0
1970,DOM,1485500000.0,1485500000.0,1.0
1971,DOM,1666500000.0,1666500000.0,1.0
1972,DOM,1987400000.0000002,1987400000.0000002,1.0
1973,DOM,2344800000.0,2344800000.0,1.0
1974,DOM,2925700000.0,2925700000.0,1.0
1975,DOM,3599199999.9999995,3599199999.9999995,1.0
1976,DOM,3951500000.0,3951500000.0,1.0
1977,DOM,4587100000.0,4587100000.0,1.0
1978,DOM,4734399999.999999,4734399999.999999,1.0
1979,DOM,5498800000.0,5498800000.0,1.0
1980,DOM,6761300000.0,6761300000.0,1.0
1981,DOM,7561300000.0,7561300000.0,1.0
1982,DOM,8267400000.0,8267400000.0,1.0
1983,DOM,9220600000.0,9220600000.0,1.0
1984,DOM,11594000000.0,11594000000.0,1.0
1985,DOM,5044592944.804986,15701800000.0,0.32127481847972755
1986,DOM,6122198120.028922,17780700000.0,0.34431704713700373
1987,DOM,5826987099.459009,22403600000.0,0.2600915522263837
1988,DOM,5374314928.425358,32850500000.0,0.16359918200409
1989,DOM,6686593059.936909,42393000000.0,0.1577287066246057
1990,DOM,7073675544.808465,60305206122.1556,0.11729792499970676
1991,DOM,9734321854.022882,123551906700.00002,0.07878730578929125
1992,DOM,11356271335.974072,145067281300.0,0.07828278874606628
1993,DOM,13081042400.0,163513030000.0,0.08
1994,DOM,14664237666.666668,184769394600.0,0.07936507936507937
1995,DOM,16598679279.069769,214122962700.00003,0.07751937984496124
1996,DOM,18241691857.354435,235250330700.0,0.07754162046478447
1997,DOM,20017908829.325417,280362823900.00006,0.07140001142400183
1998,DOM,21672526562.786934,318648990800.0,0.0680137931972604
1999,DOM,22137599986.105587,350520116900.00006,0.06315643216683403
2000,DOM,24305116729.185078,393302968400.0,0.0617974403500207
2001,DOM,25599311449.384758,427319066300.0,0.05990678504247391
2002,DOM,27362875602.50113,477430189799.99994,0.05731283062339166
2003,DOM,21642882856.424747,628611039699.9999,0.034429689409771834
2004,DOM,22692574473.346703,935984734500.0,0.024244598909477943
2005,DOM,36119047252.17942,1083445000900.0001,0.03333722267597886
2006,DOM,38116351526.2862,1261399667600.0,0.030217505605347285
2007,DOM,43965420072.41068,1458416518100.0,0.030145997063779885
2008,DOM,48122547177.18813,1661642680500.0,0.028960827584609057
2009,DOM,48261033298.21333,1736041063700.0,0.027799476813846365
2010,DOM,53860175555.996124,1983201682200.0,0.027158193762849222
2011,DOM,58029750745.6495,2210213934500.0,0.026255264180468182
2012,DOM,60681537195.79962,2386016247000.0,0.025432155909288583
2013,DOM,62682163837.34703,2619769696500.0005,0.023926593212025504
2014,DOM,67179914026.962296,2925665101900.0,0.02296227069302429
2015,DOM,71164825256.6849,3205655136099.9995,0.022199775782264602
2016,DOM,75704720189.5607,3487292512699.9995,0.02170873820130079
2017,DOM,79997975621.86543,3802655772400.0,0.02103739607526339
2018,DOM,85555378042.81964,4235846766900.0005,0.020197939810139367
2019,DOM,88941298257.72153,4562235000000.0,0.019495115498811773
1960,DZA,,13446652900.0,
1961,DZA,,12020492300.0,
1962,DZA,2001468867.7334414,9881251800.0,0.20255215718047398
1963,DZA,2703014867.3283367,13344784400.0,0.20255215718047395
1964,DZA,2909351792.586591,14363469800.0,0.20255215718047395
1965,DZA,3136258896.923295,15484023800.0,0.20254805452593627
1966,DZA,3039834558.749063,15007967200.0,0.20254805452593627
1967,DZA,3370843065.767353,16642189299.999998,0.2025480545259363
1968,DZA,3852115816.9775777,19018281000.0,0.20254805452593627
1969,DZA,4257218772.153693,21018314800.0,0.20254805452593627
1970,DZA,4863487492.657633,24011524100.0,0.20254805452593627
1971,DZA,5077222366.974718,24942362600.0,0.2035581972886048
1972,DZA,6761786386.547126,30318497800.0,0.2230251126276819
