Country_Code,year,GDP_Constant_USD
AUS,1985,504970031680.99866
AUS,1986,525358342396.6216
AUS,1987,538761129230.9563
AUS,1988,569704236717.02
AUS,1989,591701505825.5472
AUS,1990,612831155634.4843
AUS,1991,610393204828.6157
AUS,1992,612909152232.4783
AUS,1993,637608817755.3107
AUS,1994,663010452660.0887
AUS,1995,688455171399.9492
AUS,1996,715157492429.3695
AUS,1997,743524483707.4039
AUS,1998,777553285175.0575
AUS,1999,817003221615.6633
AUS,2000,849137077164.4349
AUS,2001,865532704887.5096
AUS,2002,900166165695.8024
AUS,2003,927044536189.2662
AUS,2004,964640382071.8439
AUS,2005,995550062444.4816
AUS,2006,1023371077536.5582
AUS,2007,1062711818739.9723
AUS,2008,1101585323180.1655
AUS,2009,1122922963917.0867
AUS,2010,1146138465603.8052
AUS,2011,1174365063005.4504
AUS,2012,1220378598873.434
AUS,2013,1251924137225.9084
AUS,2014,1283636811145.5125
AUS,2015,1311782440650.1924
AUS,2016,1348127369665.8953
AUS,2017,1379142531152.0107
AUS,2018,1419817385593.4932
AUS,2019,1450499018770.0916
AUT,1960,91836704603.82729
AUT,1961,96922602310.05954
AUT,1962,99489767156.27213
AUT,1963,103606919937.47998
AUT,1964,109952174211.11273
AUT,1965,113778702199.79865
AUT,1966,120199076680.0912
AUT,1967,123814722359.08841
AUT,1968,129352104013.72209
AUT,1969,137470070238.14032
AUT,1970,146159749454.68445
AUT,1971,153635774723.1999
AUT,1972,163173270197.04764
AUT,1973,171153153430.91733
AUT,1974,177900247052.1094
AUT,1975,177253160816.3121
AUT,1976,185368600063.12393
AUT,1977,194785288974.1805
AUT,1978,194374966565.3231
AUT,1979,204787050205.44098
AUT,1980,208332908481.19583
AUT,1981,208032295155.55447
AUT,1982,212216354485.08136
AUT,1983,218525733518.6421
AUT,1984,218637782070.52533
AUT,1985,224100837318.4981
AUT,1986,229258278776.51935
AUT,1987,232369698920.50433
AUT,1988,240028325117.26782
AUT,1989,249358405698.53748
AUT,1990,260194627809.65198
AUT,1991,269149558393.81607
AUT,1992,274784270655.5846
AUT,1993,276231859483.73596
AUT,1994,282867277668.304
AUT,1995,290414130050.78674
AUT,1996,297237508346.44214
AUT,1997,303460471006.6193
AUT,1998,314328682652.3707
AUT,1999,325507251810.6942
AUT,2000,336495472200.4349
AUT,2001,340759435782.3578
AUT,2002,346387261608.1521
AUT,2003,349648396949.2897
AUT,2004,359211700961.5829
AUT,2005,367272646184.9069
AUT,2006,379958397036.8364
AUT,2007,394121024465.17554
AUT,2008,399876861217.52844
AUT,2009,384823184161.5948
AUT,2010,391892746544.68994
AUT,2011,403346977095.65985
AUT,2012,406091533760.53125
AUT,2013,406195106237.4742
AUT,2014,408881164188.39056
AUT,2015,413029270083.549
AUT,2016,421246227873.7866
AUT,2017,431354400137.30615
AUT,2018,442483864448.169
AUT,2019,448761534683.3329
AZE,1990,22672997489.25978
AZE,1991,22514286465.40536
AZE,1992,17426057713.95019
AZE,1993,13400638502.346876
AZE,1994,10760712620.576006
AZE,1995,9490948560.19303
AZE,1996,9614330840.70045
AZE,1997,10171962030.646488
AZE,1998,11189158352.2522
AZE,1999,12017156024.087845
AZE,2000,13351060283.095928
AZE,2001,14672815268.508448
AZE,2002,16057770026.775837
AZE,2003,17696995366.19731
AZE,2004,19334640158.10578
AZE,2005,24740902926.32673
AZE,2006,33268154327.407867
AZE,2007,41739296291.77746
AZE,2008,46160087685.64209
AZE,2009,50484860818.0919
AZE,2010,52902703376.105644
AZE,2011,52070545110.51046
AZE,2012,53217627468.07115
AZE,2013,56327354699.90121
AZE,2014,57903160570.3635
AZE,2015,58510881089.1125
AZE,2016,56718342640.9299
AZE,2017,56805470322.58409
AZE,2018,57657780568.97005
AZE,2019,58937036212.30547
BDI,1960,597069961.5460724
BDI,1961,514995918.26074994
BDI,1962,561670811.6894473
BDI,1963,584898188.1107632
BDI,1964,621589073.1452389
BDI,1965,646248914.0357034
BDI,1966,676060330.5301976
BDI,1967,769502134.8753917
BDI,1968,767209913.650335
BDI,1969,756012169.3058506
BDI,1970,917236835.2320638
BDI,1971,942431759.9734652
BDI,1972,882078760.6423757
BDI,1973,942845613.83468
BDI,1974,935992638.9036497
BDI,1975,942525120.9396248
BDI,1976,1017386695.9091802
BDI,1977,1134075385.2751603
BDI,1978,1123408544.5021913
BDI,1979,1142112790.6755817
BDI,1980,1153431764.8750346
BDI,1981,1293726848.951544
BDI,1982,1280096145.1970677
BDI,1983,1327655902.7958457
BDI,1984,1329720991.9572563
BDI,1985,1486404412.372714
BDI,1986,1534715238.1149511
BDI,1987,1619172092.818958
BDI,1988,1700633035.3732295
BDI,1989,1723583116.108348
BDI,1990,1783905459.6078484
BDI,1991,1873044297.811815
BDI,1992,1891962014.7077537
BDI,1993,1773903584.9636831
BDI,1994,1705963077.7270124
BDI,1995,1570850801.9070983
BDI,1996,1445182737.7868752
BDI,1997,1422204332.3014677
BDI,1998,1489759038.0160444
BDI,1999,1474712471.7842515
BDI,2000,1462076190.6484337
BDI,2001,1492133656.9053125
BDI,2002,1558481669.6162927
BDI,2003,1539410093.6700695
BDI,2004,1613819909.245584
BDI,2005,1628344288.4433496
BDI,2006,1716499707.8749018
BDI,2007,1775752462.2735996
BDI,2008,1862084450.4923637
BDI,2009,1933081018.3339553
BDI,2010,2032135246.5000358
BDI,2011,2114083183.1776326
BDI,2012,2208090293.906986
BDI,2013,2316820971.5245214
BDI,2014,2415069278.1346173
BDI,2015,2320881501.7598386
BDI,2016,2306955748.560296
BDI,2017,2318490757.9705153
BDI,2018,2355816907.694199
BDI,2019,2399222284.7642164
BEL,1960,119193551296.98758
BEL,1961,125127510544.59435
BEL,1962,131649160785.22238
BEL,1963,137377984972.90324
BEL,1964,146934938280.6221
BEL,1965,152166791618.70383
BEL,1966,156969015759.26425
BEL,1967,163040807949.93698
BEL,1968,169878950776.91876
BEL,1969,181141585107.77567
BEL,1970,191254463098.30417
BEL,1971,198877535338.49554
BEL,1972,209409303532.3247
BEL,1973,222773181155.0342
BEL,1974,232943351569.07053
BEL,1975,228363821395.69424
BEL,1976,241272648022.49362
BEL,1977,242783388419.5122
BEL,1978,249683041015.30676
BEL,1979,255528303163.15622
BEL,1980,266884118625.16095
BEL,1981,266138755906.56787
BEL,1982,267722246299.38
BEL,1983,268557118587.66177
BEL,1984,275180765182.8633
BEL,1985,279726181521.83514
BEL,1986,284824923589.9791
BEL,1987,291394864935.8615
BEL,1988,305158053073.3336
BEL,1989,315744495498.60474
BEL,1990,325650670611.6768
BEL,1991,331620089288.4721
BEL,1992,336696048579.9958
BEL,1993,333457459153.6324
BEL,1994,344218036408.13965
BEL,1995,352426801089.12195
BEL,1996,357083948331.1398
BEL,1997,370630490780.7306
BEL,1998,377901550407.36285
BEL,1999,391289632883.3786
BEL,2000,405832614001.3012
BEL,2001,410295226077.6247
BEL,2002,417298492042.6207
BEL,2003,421629977567.3845
BEL,2004,436687245639.1712
BEL,2005,446825975230.4786
BEL,2006,458230537757.5476
BEL,2007,475079129959.51587
BEL,2008,477202395106.6037
BEL,2009,467559360817.2491
BEL,2010,480951629493.03296
BEL,2011,489101421700.39966
BEL,2012,492716943941.29474
BEL,2013,494979708039.47864
BEL,2014,502793126783.1258
BEL,2015,513057442367.4763
BEL,2016,519556271260.4156
BEL,2017,527911187256.4195
BEL,2018,537478500579.38043
BEL,2019,546851155613.12445
BEN,1960,1731160070.265642
BEN,1961,1785540663.2620246
BEN,1962,1724360722.5845733
BEN,1963,1805923467.1607032
BEN,1964,1926031086.8284304
BEN,1965,2027992530.7123432
BEN,1966,2100510759.8422115
BEN,1967,2123162639.850848
BEN,1968,2204741674.5679646
BEN,1969,2268183071.6310506
BEN,1970,2315764053.893143
BEN,1971,2281100728.8916707
BEN,1972,2427692645.790232
BEN,1973,2517666948.6702657
BEN,1974,2601739707.2530766
BEN,1975,2474375561.0070596
BEN,1976,2496257857.9832087
BEN,1977,2620662955.3314543
BEN,1978,2653554320.3773355
BEN,1979,2826983928.1120067
BEN,1980,3018703302.8050227
BEN,1981,3319192007.800993
BEN,1982,3393378151.2782607
BEN,1983,3245840084.5506544
BEN,1984,3503229995.7677436
BEN,1985,3767034594.220118
BEN,1986,3848822249.3011117
BEN,1987,3791089802.042722
BEN,1988,3920185709.150367
BEN,1989,3808297317.259551
BEN,1990,4150135201.309666
BEN,1991,4325511590.521983
BEN,1992,4453447715.132399
BEN,1993,4713358587.62772
BEN,1994,4808587305.632306
BEN,1995,5099275960.408031
BEN,1996,5319783136.4825735
BEN,1997,5624856121.677518
BEN,1998,5847657355.403081
BEN,1999,6160007012.4915085
BEN,2000,6520842618.317873
BEN,2001,6868608004.330016
BEN,2002,7187519594.361508
BEN,2003,7435027349.877395
BEN,2004,7764375607.969498
BEN,2005,7897392139.470952
BEN,2006,8208844659.687163
BEN,2007,8700254776.297998
BEN,2008,9126269457.949615
BEN,2009,9337934308.083515
BEN,2010,9535344283.47295
BEN,2011,9817948328.015085
BEN,2012,10290311747.094748
BEN,2013,11030332696.117594
BEN,2014,11731605852.369621
BEN,2015,11940211526.224073
BEN,2016,12338975597.609022
BEN,2017,13038787442.989014
BEN,2018,13912028868.598612
BEN,2019,14867185272.707144
BFA,1960,1297842687.8823082
BFA,1961,1350326511.428972
BFA,1962,1433085306.2067173
